pair,version,quality,workload,fps,cpuP50,cpuP95,gapP95,inputSubmissionP95,uploadKiB
1,candidate,medium,opening-touch,59.36161930712339,2.600000001490116,3.899999998509884,17.900000002235174,28.199999999254942,180.38783299180326
1,candidate,medium,revealed-idle,59.83485579798864,3.100000001490116,4.600000001490116,17.800000000745058,,311.568359375
1,candidate,medium,revealed-touch,60.02233389167171,4.100000001490116,5.899999998509884,18.300000000745058,21.600000001490116,345.1986023151993
1,candidate,medium,revealed-touch-cpu4,54.77480008075055,15.899999998509884,22.399999998509884,25.699999999254942,78.39999999850988,326.9376001602564
1,baseline,medium,opening-touch,59.90036375135737,3.399999998509884,4.800000000745058,17.900000002235174,28.699999999254942,294.0988165222772
1,baseline,medium,revealed-idle,60.02592481802772,5,7.199999999254942,18.199999999254942,,802.361328125
1,baseline,medium,revealed-touch,60.00199342170836,7.100000001490116,10.100000001490116,18.699999999254942,25.799999997019768,793.9020257994187
1,baseline,medium,revealed-touch-cpu4,24.99473481341297,36.80000000074506,49.19999999925494,52.80000000074506,157.69999999925494,793.8293825765103
1,candidate,clarity,opening-touch,40.05138668480878,3.800000000745058,5.800000000745058,27.199999999254942,30.800000000745058,175.23291936910377
1,candidate,clarity,revealed-idle,39.982407740600095,3.899999998509884,4.699999999254942,26.300000000745058,,311.240234375
1,candidate,clarity,revealed-touch,39.835347231449,4,7.5,27,30.799999997019768,339.582421875
1,candidate,clarity,revealed-touch-cpu4,39.885855113810976,19.100000001490116,26.100000001490116,31.800000000745058,75.60000000149012,334.5104854759485
1,baseline,clarity,opening-touch,40.08134736510156,3.300000000745058,4.699999999254942,26.799999997019768,28.5,271.39453125
1,baseline,clarity,revealed-idle,39.897065570839125,7.800000000745058,10.399999998509884,27.599999997764826,,741.001953125
1,baseline,clarity,revealed-touch,40.00871785293129,8.5,11.100000001490116,27.399999998509884,43,736.3260122811284
1,baseline,clarity,revealed-touch-cpu4,22.537556613052057,39.80000000074506,57,60.900000002235174,184.20000000298023,734.5810484673567
2,baseline,high,opening-touch,59.8553988384585,3.800000000745058,5.300000000745058,17.899999998509884,21.300000000745058,313.84037231848185
2,baseline,high,revealed-idle,60.02472779482123,5.5,7.199999999254942,18.199999999254942,,895.001953125
2,baseline,high,revealed-touch,59.9406528189911,6.400000002235174,9,18.800000000745058,30.100000001490116,890.0687074566831
2,baseline,high,revealed-touch-cpu4,26.200909569549754,35.400000002235174,45.19999999925494,48.30000000074506,145.30000000074506,890.11977415447
2,candidate,high,opening-touch,59.411340748396725,2.899999998509884,4.099999997764826,17.800000000745058,28.599999997764826,184.8773693647541
2,candidate,high,revealed-idle,60.01156369002227,3.5,4.199999999254942,17.599999997764826,,321.302734375
2,candidate,high,revealed-touch,60.0331079598894,4.299999997019768,5.199999999254942,17.800000000745058,21.199999999254942,365.3542813019103
